Name	Set	ImageFile	Type	traits	victorypoints	cost	expense	text	flavor	illustrator
Interspecies Census	aliensimperium	05001.png	Adventure Card	"Government, Professional"	3	NULL	NULL	NULL	NULL	Leonardo Calamati
Alien Quarter Market	aliensimperium	05002.png	Connection	"Exploration, Mercantile"	NULL	1	1	"<strong>Procurement Phase</strong> \n [Exert], [Exert] a non-Human [Crew]: Search your deck for a [Gear] and move it to your hand."	Shoppers drawn to deals and adventures.	Andreas Rocha
Sophont Worker's Union	aliensimperium	05003.png	Connection	"Legal, Professional"	NULL	1	1	"This card enters play with 3 Alien Labor counters on it, and is jettisoned if it has 0 Alien Labor counters. \n [Exert] a non-Human [Crew]: Add an Alien Labor counter to this card. \n Remove 1 Alien labor counter: Reduce the cost to procure a non-Human [Crew] by [1]."	NULL	Rodolfo Hernandez
"Aokhyuk, Discreet Scholar"	aliensimperium	05004.png	Crew	"Aslan (Male), Imperial"	NULL	1	1	"If Aokhyuk provides a [Medical], [Science], or [Tech] token, jettison him."	"The strict gender roles of their native society are so prominent, they often still impact Aslan subjects of the Imperium."	Tan Ho Sim
Dezihdhodhude Mehro	aliensimperium	05005.png	Crew	"Imperial, Gearhead, Scoundrel"	NULL	2	1	"<strong><u><a href=""../rulesreference#KW_Huaniti"">Humaniti</a></u></strong> \n When Dezihdhodhunde comes into play, you may search your deck for a [Gear] and attach it to him without payings its cost. [Gear] attached to Dezihdhodhunde have <strong><u><a href=""../rulesreference#KW_Integral"">Integral</a></u></strong>."	NULL	Theresa Koenigseder-Haller
Doc Ozi	aliensimperium	05006.png	Crew	"Imperial, Professional"	NULL	1	1	"After Doc Ozi resolves a [LinkOpen] [Heroic][Medical] [LinkClosed], you may [Ready] another target non-Human [Crew]. \n <strong>Action Phase</strong> \n [Action]-[1]: [Expert:Medical] until end of round."	What did you expect? I'm not a veterinarian.	Tan Ho Sim
Gisgo	aliensimperium	05007.png	Crew	"Imperial, Mercenary"	NULL	2	1	"Gisgo may play target [LinkOpen] [Heroic][Combat] [LinkClosed] in any discard pile. After resolving the [Heroic], disperse it. \n <strong>Action Phase</strong> \n [Action]-[Exert]: Gain [Trained:Admin] until end of round."	"Among the Hivers, there's not another Gisgo."	Rodolfo Hernandez
Gorbash	aliensimperium	05008.png	Crew	"Imperial, Mercenary"	NULL	2	1	"Discard this card from hand, [1]: Inflict 2 [Wound] on target [Crew]."	I won't be your bear bomb.	Nichole Balsley
Jeeves	aliensimperium	05009.png	Crew	"Imperial, Altruistic, Amiable"	NULL	0	1	"<strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> \n Spending [Passenger] or [Social] tokens costs you [2]. \n <strong>Action Phase</strong> \n [Exert]: [Trained:Jack] until end of round."	Eww...	Maik Belersdorf
Kydut Naboh	aliensimperium	05010.png	Crew	"Imperial, Amiable, Spacehand"	NULL	2	1	"<strong><u><a href=""../rulesreference#KW_Invulnerable"">Invulnerable</a> to <a href=""../rulesreference#KW_Hindrance"">Hindrances</a></u></strong> \n Kydut does not [Exert] to play [LinkOpen] [Heroic][StarshipOperation] [LinkClosed]"	Mine is an evil laugh!	Jin Kim
"Liach, T'zen and Giiar"	aliensimperium	05011.png	Crew	"Imperial, Spiritual, Symbiote"	NULL	2	1	"<strong><u><a href=""../rulesreference#KW_Huaniti"">Humaniti</a></u></strong> \n [Reaction]-Jettison: Change the target of an [Event] or cancel an [Event]."	Lamura civilization is a symbiotic cooperation between alien Gav and the human Teg.	Raul A. Santos
Onjiinuunon	aliensimperium	05012.png	Crew	"Imperial, Altruistic"	NULL	2	1	"<strong><u><a href=""../rulesreference#KW_Armor"">Armor 1</a></u></strong> \n Whenever you gain an [Infamy] token, pay [2] or jettison Onjinuunon. \n <strong>Resource Phase</strong> \n All Captains must pay [1] before adding a [Combat] or a [Military] token to their Resource Pools."	NULL	Nick Egberts
Rhonuit Pruir	aliensimperium	05013.png	Crew	"Imperial, Amiable, Veteran"	NULL	2	1	Jettison if you control a <strong><em>Solomani</em></strong> [Crew] \n <strong>Resource Phase</strong> \n [Tech] token: Gain a [Combat] or [Underworld] token of the same Skill level as the spent [Tech] token.	Fear of the Solomani make the Vegans fanatically loyal to the Imperium.	Nick Egberts
Voypa	aliensimperium	05014.png	Crew	"Imperial, Sport Caste"	NULL	2	0	"<strong><u><a href=""../rulesreference#KW_Concealed"">Concealed 1</a></u></strong> \n You gain 1 [VictoryPoint] for resolving [LinkOpen] [Subplot][Tech] [LinkClosed]."	Sent by his Oytrip to find and recover ancient Drayne relics.	Tan Ho Sim
"Wabapawap, Speaker of the Tree"	aliensimperium	05015.png	Crew	"Imperial, Extravagant, Noble"	NULL	1	1	"Wabapawap's controller may abandon [Contract] without paying the [Abandonment]. \n <strong>Action Phase</strong> \n [Action]-[Exert],[2]: Return target <strong><em>Unsavory</em></strong> [Crew] to owner's hand."	I am the Tree's Voice. It's thristy work.	Jazz Sly
Alien Persecution	aliensimperium	05016.png	Event	Unsavory	NULL	2	1	Jettison target non-Human [Crew]	Aliens go home!	Nichole Balsley
Inhuman Persistence	aliensimperium	05017.png	Event	Veteran	NULL	1	1	Move a non-Human [Crew] from your discard pile to your hand.	NULL	Nagy Norbert
Honor Blade	aliensimperium	05018.png	Gear	"Aslan, Melee, Primitive"	NULL	2	1	"Attaching Honor Blade to a [Crew] with [Species] Aslan or <strong><em>Aslan</em></strong> cost [2] less. \n <strong>Action Phase</strong> \n [Use]: Inflict 1 [Wound] on target [Crew]. If attached [Crew] has [Combat], inflict 2 [Wound], instead."	"A claw-shaped sword, favored in the Hieratre."	Tan Ho Sim
Diverse Dynamics	aliensimperium	05019.png	Heroic Action	"Amiable, Resourceful"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Social] [Action]-[Exert]: Search your deck for a non-Human [Crew] and move that card to your hand. \n [Expert:Social] [Action] [Limited]-[Exert]: Put into play as <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong> [LinkOpen] [Connection][Organization] [LinkClosed] with 1 Diversity counter per distinct [Species] you control. Each Diversity counter counts as 1 [VictoryPoint]. At end of round, jettison this card."	NULL	Rodolfo Hernandez
Specialized Habitat	aliensimperium	05020.png	Ship Upgrade	"Extravagant, Transport"	NULL	3	1	[Crew] slots +1 if you control a non-Human [Crew]. \n <strong>Action Phase</strong> \n [Action]-[Exert]: [Ready] target non-Human [Crew] you control.	I ain't cleaning that.	Tan Ho Sim
Beowulf Free Trader	beowulf	01001.png	Ship Type	"Imperial, Mecantile"	NULL	NULL	NULL	[Reaction] - [Exert]: Reduce the cost to procure a [Connection] by [1]. \n You may control an additional [Connection] of each subtype.	NULL	Tan Ho Sim
